market,game,set_code,tier,asin,title,price,old_price,promo,url
IT,One Piece,OP12,display,B0FJYN73Y4,One Piece TCG: Legacy of The Master (OP-12) Booster Box - 24 confezioni,410.68,,False,https://www.amazon.it/One-Piece-TCG-Booster-confezioni/dp/B0FJYN73Y4/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Zv599puTv3B1BGgLxOYq5jlT4Tu5-PLgd1xYaTXUWx62vKErPw1KifEPtL0EXSh19zMMABPM5CiKn3P4K4VhnQpvoiFbssxdIJaOXcmNeZiWlu3A5ZS5I8O8wZmXJfQT25dRvfJ6Zmq2Fgdevy18AM7McHaNtbO5ett9pXAp5-zY5vqZ26llMhDeRWqxT3q8TZGobG3Er7x3NNyxdH_6rRUnkTMx8L5zZy-tMUKoaBv3poQQ5zCSXxTI3P5AB2_kZYbxABrPxyZWB5jyXVwLCp8U5_NYhvDJnIFhDFuJxPQ.LjydFS8fctBHbD_Ce_zgKI5d4Lt6rKMuCFJ7SFv95Dc&dib_tag=se&keywords=one+piece+booster+box&qid=1790169461&sr=8-2
IT,One Piece,,case,B0FNRSHR48,Bandai One Piece Card Game - Set 4 Pz Official Dice + Dice Case,67.98,,False,https://www.amazon.it/Bandai-One-Piece-Card-Game/dp/B0FNRSHR48/ref=sr_1_69?dib=eyJ2IjoiMSJ9.2mQ-TA3WsE1XoMH3A-25fDgpLPJez8PhgKaWhqcTNAQLMoWUBZNjtHOjpw1gLuAPJGSVrW1ENfb7Rq-P0kNtT06A2nX6MN7fJXmwigpYC8WKdOl_hve8irCcNTq66o-rbM4Dt9QejCEBBTp-VQfxZTOna2TVvlyJjnz6m37XReIMQ5PMrkpIfG4rKvqcHymn_nGUzQHHPOdHREyQMDuqsWA4-5NCNQmrJcU3jwN-kDf4FaTlGdzoaEo4s4ForT4Wnf8ffbp6Q5MxMbkiikuoxd5dt6zC3bip5GK5lwQyhpU.Qc7VkRsyuyAKIKI8yEkfGXh62syC7xOmtZBDC550GH8&dib_tag=se&keywords=one+piece+card+game+display&qid=1790169429&sr=8-69&xpid=-MipYJEBlQOct
IT,One Piece,,display,B0F1DJJRN8,"Espositore in acrilico per Bandai One Piece TCG Booster Box, versione inglese, protezione UV, impilabile, antipolvere, protezione per display per scatole da gioco di carte collezionabili, 1 pezzo",43.13,,False,https://www.amazon.it/Espositore-protezione-impilabile-antipolvere-collezionabili/dp/B0F1DJJRN8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Zv599puTv3B1BGgLxOYq5jlT4Tu5-PLgd1xYaTXUWx62vKErPw1KifEPtL0EXSh19zMMABPM5CiKn3P4K4VhnQpvoiFbssxdIJaOXcmNeZiWlu3A5ZS5I8O8wZmXJfQT25dRvfJ6Zmq2Fgdevy18AM7McHaNtbO5ett9pXAp5-zY5vqZ26llMhDeRWqxT3q8TZGobG3Er7x3NNyxdH_6rRUnkTMx8L5zZy-tMUKoaBv3poQQ5zCSXxTI3P5AB2_kZYbxABrPxyZWB5jyXVwLCp8U5_NYhvDJnIFhDFuJxPQ.LjydFS8fctBHbD_Ce_zgKI5d4Lt6rKMuCFJ7SFv95Dc&dib_tag=se&keywords=one+piece+booster+box&qid=1790169461&sr=8-12
IT,One Piece,OP15,display,B0GV7VF1PX,OP15 Adventure on Kami's Island Booster Box English OP-15 Booster Box Display Factory Sealed for OP15 One Piece Cards English TCG (24 confezioni) + carta TCG Fabrik Don personalizzata,416.08,,False,https://www.amazon.it/Adventure-TCG-confezioni-Fabrik-personalizzata/dp/B0GV7VF1PX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Zv599puTv3B1BGgLxOYq5jlT4Tu5-PLgd1xYaTXUWx62vKErPw1KifEPtL0EXSh19zMMABPM5CiKn3P4K4VhnQpvoiFbssxdIJaOXcmNeZiWlu3A5ZS5I8O8wZmXJfQT25dRvfJ6Zmq2Fgdevy18AM7McHaNtbO5ett9pXAp5-zY5vqZ26llMhDeRWqxT3q8TZGobG3Er7x3NNyxdH_6rRUnkTMx8L5zZy-tMUKoaBv3poQQ5zCSXxTI3P5AB2_kZYbxABrPxyZWB5jyXVwLCp8U5_NYhvDJnIFhDFuJxPQ.LjydFS8fctBHbD_Ce_zgKI5d4Lt6rKMuCFJ7SFv95Dc&dib_tag=se&keywords=one+piece+booster+box&qid=1790169461&sr=8-4
IT,One Piece,OP14,display,B0GDRRN92V,OP14 The Azure Sea Seven Booster Box English OP-14 Booster Box Display Factory Sealed per OP14 One Piece Cards English TCG (24 confezioni) + carta TCG Fabrik Don personalizzata,384.19,,False,https://www.amazon.it/Booster-TCG-confezioni-Fabrik-personalizzata/dp/B0GDRRN92V/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Zv599puTv3B1BGgLxOYq5jlT4Tu5-PLgd1xYaTXUWx62vKErPw1KifEPtL0EXSh19zMMABPM5CiKn3P4K4VhnQpvoiFbssxdIJaOXcmNeZiWlu3A5ZS5I8O8wZmXJfQT25dRvfJ6Zmq2Fgdevy18AM7McHaNtbO5ett9pXAp5-zY5vqZ26llMhDeRWqxT3q8TZGobG3Er7x3NNyxdH_6rRUnkTMx8L5zZy-tMUKoaBv3poQQ5zCSXxTI3P5AB2_kZYbxABrPxyZWB5jyXVwLCp8U5_NYhvDJnIFhDFuJxPQ.LjydFS8fctBHbD_Ce_zgKI5d4Lt6rKMuCFJ7SFv95Dc&dib_tag=se&keywords=one+piece+booster+box&qid=1790169461&sr=8-6
IT,Pokemon,,display,B0GVQ4M824,Pokemon TCG: Lumiose City Mini display di latta (10 mini scatole),159.82,,False,https://www.amazon.it/Pokemon-TCG-Lumiose-display-scatole/dp/B0GVQ4M824/ref=sr_1_9?dib=eyJ2IjoiMSJ9.mOvNRoWdb8Rb6jlMoA0QCzgjFd9xAqT8E0M1rjljv9vNwpxLhJjhMUfmtKuoiLxi_LiAdaPjZ2-0_PwrwoTnjmtNt2P0WzRl9XjJU7kHaBsz7xU4MochMEX_KCzxpkUbZzLWjqnGJDcXsHCUzpUrI8GT9m5orkFrOQxzyii6-A74yef7T3nrrAFLIGa-3J7neC97QO7r8PNV46IzQOOYj0i3SQ-x-wP7gV1qMljdI8zwvh9Xl8Fl80PeORmVRntjDPC1fC1kw2FEtLnl8BGBViGpr-6HqDWDw02RUOHrMVQ.ArT2HcJgeoj-dY5QL0_qvzWZbXpLWwCZB5o3Vod_7k0&dib_tag=se&keywords=pokemon+display&qid=1790169522&sr=8-9
IT,Pokemon,,display,B0DP5J1T8B,POKEMON TCG: SCARLET & VIOLA: PRISMATIC EVOLUTIONS MINI DISPLAY IN LATTA (DISPLAY 8CT),306.41,,False,https://www.amazon.it/POKEMON-TCG-SCARLET-PRISMATIC-EVOLUTIONS/dp/B0DP5J1T8B/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mOvNRoWdb8Rb6jlMoA0QCzgjFd9xAqT8E0M1rjljv9vNwpxLhJjhMUfmtKuoiLxi_LiAdaPjZ2-0_PwrwoTnjmtNt2P0WzRl9XjJU7kHaBsz7xU4MochMEX_KCzxpkUbZzLWjqnGJDcXsHCUzpUrI8GT9m5orkFrOQxzyii6-A74yef7T3nrrAFLIGa-3J7neC97QO7r8PNV46IzQOOYj0i3SQ-x-wP7gV1qMljdI8zwvh9Xl8Fl80PeORmVRntjDPC1fC1kw2FEtLnl8BGBViGpr-6HqDWDw02RUOHrMVQ.ArT2HcJgeoj-dY5QL0_qvzWZbXpLWwCZB5o3Vod_7k0&dib_tag=se&keywords=pokemon+display&qid=1790169522&sr=8-14
IT,Pokemon,,display,B0FQFSYJWH,Pokémon Gioco di Carte Collezionabili: Mega Evolution Booster Display,822.02,,False,https://www.amazon.it/Pok%C3%A9mon-Gioco-Carte-Collezionabili-Evolution/dp/B0FQFSYJWH/ref=sr_1_22?dib=eyJ2IjoiMSJ9.mOvNRoWdb8Rb6jlMoA0QCzgjFd9xAqT8E0M1rjljv9vNwpxLhJjhMUfmtKuoiLxi_LiAdaPjZ2-0_PwrwoTnjmtNt2P0WzRl9XjJU7kHaBsz7xU4MochMEX_KCzxpkUbZzLWjqnGJDcXsHCUzpUrI8GT9m5orkFrOQxzyii6-A74yef7T3nrrAFLIGa-3J7neC97QO7r8PNV46IzQOOYj0i3SQ-x-wP7gV1qMljdI8zwvh9Xl8Fl80PeORmVRntjDPC1fC1kw2FEtLnl8BGBViGpr-6HqDWDw02RUOHrMVQ.ArT2HcJgeoj-dY5QL0_qvzWZbXpLWwCZB5o3Vod_7k0&dib_tag=se&keywords=pokemon+display&qid=1790169522&sr=8-22
IT,Pokemon,,display,B0CHVYZF7R,Merchandising Pokemon Tcg: Sword Shield - Silver Tempest - Booster Box 36 Packs (Spanish Ver.),339.89,,False,https://www.amazon.it/Pokemon-Tempestdad-Plateada-Display-36/dp/B0CHVYZF7R/ref=sr_1_35?dib=eyJ2IjoiMSJ9.mOvNRoWdb8Rb6jlMoA0QCzgjFd9xAqT8E0M1rjljv9vNwpxLhJjhMUfmtKuoiLxi_LiAdaPjZ2-0_PwrwoTnjmtNt2P0WzRl9XjJU7kHaBsz7xU4MochMEX_KCzxpkUbZzLWjqnGJDcXsHCUzpUrI8GT9m5orkFrOQxzyii6-A74yef7T3nrrAFLIGa-3J7neC97QO7r8PNV46IzQOOYj0i3SQ-x-wP7gV1qMljdI8zwvh9Xl8Fl80PeORmVRntjDPC1fC1kw2FEtLnl8BGBViGpr-6HqDWDw02RUOHrMVQ.ArT2HcJgeoj-dY5QL0_qvzWZbXpLWwCZB5o3Vod_7k0&dib_tag=se&keywords=pokemon+display&qid=1790169522&sr=8-35
IT,Pokemon,,display,B0CB7YGCSX,Pokemon Display Center Original (Rowlet Cyndaquil Oshawott),61.36,,False,https://www.amazon.it/dp/B0CB7YGCSX/ref=sr_1_53?dib=eyJ2IjoiMSJ9.cOGHAcad0xZkQU3LDgG3F7sDSQU3gAOQUUE9rpb5TR1INHTNpOEcgPH47P_X1Bf5z2WGXmNKi0PXu3GVrm06wKjSDWCU0-P5eF-XA7svXKyIECA3zqajdGL6rYKTGRgNRyMf2uc_e4XGDJhwcTWDeGv7XpZOR6w9EOjzKVKRe05VPpOu0D8dIdYU63wwn76uHjlFzsqL-ZySQP4CNpj2RbqCTY8inuCdt5h-9_3XeXAAECdcRueSGL2kmnPiH9HdTK2Ic1uth21z8UhinBgVMdMZUKQdoJ54H0OXHD9UQOQ.4zN2_hWSm7QUgaEPRlp2Cbx_Neka5xiYiRrs6PvDZCY&dib_tag=se&keywords=pokemon+display&qid=1790169535&sr=8-53&xpid=MUm2N3uETsEWt
